Address,Type,Time,Tx_id,BTC value,New_column
bc1q6wm5scw36kepj3vqzk3ue3ps4anwn282cu9tuv,Received,06/04/2024,d55bc6a5323cd96158246626b4f754d36de2f73aeb9cb1b20e9e87964451629f,5660.407405,
bc1qrqrcvfq99f0lwk0w6dcvldw82ew4ygcnl3rhj5,Sent,06/04/2024,50d1675f1346943c2e8b4773b18bdf39181110759fec12b9843c575ecd5df33e,15805.38665,
bc1qa87h3yv648nmngfjplskkcq238q7xz4g00575r,Received,06/04/2024,50d1675f1346943c2e8b4773b18bdf39181110759fec12b9843c575ecd5df33e,15745.38644,
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,Sent,06/04/2024,0c6d914a58f391cb72692ee3f8094ec9d6091c00a49124c8c4e37127b7079d3c,7910.224,
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,Received,06/04/2024,0c6d914a58f391cb72692ee3f8094ec9d6091c00a49124c8c4e37127b7079d3c,6000,
bc1q78ufzeu8w8fwvxuphrdlg446xhyptf28fkatu5,Sent,05/04/2024,3639f227af2a5d1f08a059cfe9ed442f621e65e6594cb4b95e0cd0bb0452b88f,3794.673621,
bc1q32lyrhp9zpww22phqjwwmelta0c8a5q990ghs6,Received,05/04/2024,3639f227af2a5d1f08a059cfe9ed442f621e65e6594cb4b95e0cd0bb0452b88f,3794.671,
1126afjQzxUE9UM7GT1umzLCS4c7TPRKSK,Sent,05/04/2024,f5f76a18cc3daa4ecb5503de6f2c8c808ac665a9949ceece996e6203a78e68fd,3794.922526,
bc1q78ufzeu8w8fwvxuphrdlg446xhyptf28fkatu5,Received,05/04/2024,f5f76a18cc3daa4ecb5503de6f2c8c808ac665a9949ceece996e6203a78e68fd,3794.922509,
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,Sent,05/04/2024,36a90050899fbe566acf82e57b885faaa2b177b0b09e1da90651a1f75a3f14ed,3824.644259,
1126afjQzxUE9UM7GT1umzLCS4c7TPRKSK,Received,05/04/2024,36a90050899fbe566acf82e57b885faaa2b177b0b09e1da90651a1f75a3f14ed,3794.922526,
bc1qf4pfd0m3e8a96a490aqf4w22k980nfhyjasdpg,Sent,04/04/2024,8ec94917bf1923e5c6f5786de19b8b4d1725409e15bc47b440f1add2b4218d39,5525.37032,
bc1qccejuvemd0c33uk6l5ccev6400qfxca40gcvuk,Received,04/04/2024,8ec94917bf1923e5c6f5786de19b8b4d1725409e15bc47b440f1add2b4218d39,5453.334729,
3Dhk8F6KYvMyqHN1r4kAT8t7SceK7yDjA4,Sent,04/04/2024,c03acb80562302248f8be621e765315345a85cd3856bf49583e97b0428342908,4703.001267,
3P8MfdM4pULv7ozdQvfwAqNF29zAjmnUYD,Received,04/04/2024,c03acb80562302248f8be621e765315345a85cd3856bf49583e97b0428342908,4703,
bc1qn3m68haqzggezz3hc6uuppumzj2vnr6vxtr4xq,Sent,03/04/2024,3ec419a1005ff942ca2ade47751e0393ac9e5a97aa24dc610aba1c61c45abf3f,6696.022494,
bc1qn9epvu94f5wjkfwh0hf3awz4duguj3h6ez5xxc,Received,03/04/2024,3ec419a1005ff942ca2ade47751e0393ac9e5a97aa24dc610aba1c61c45abf3f,6682.051171,
18tim3KPzScZxpf7HwaMnxB29QQY2gvHzg,Sent,03/04/2024,9a4c7bf86a8b2dabd9755bc282f57ef2b49c85168c137fe1a2458011cad952dd,4824.318764,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,03/04/2024,9a4c7bf86a8b2dabd9755bc282f57ef2b49c85168c137fe1a2458011cad952dd,4824.313764,
bc1qj5y34ctgw7ya3qm7umd7nxerc6y8y8xyvdtauw,Sent,03/04/2024,91029cdc753b650cea2c3b28a26cec983ddcdc4e8f276bb155b216dad94791a0,14483.93644,
bc1qn6gfmj5fw2r4ee4x2d2d3yx86ezhksr4gswvvl,Received,03/04/2024,91029cdc753b650cea2c3b28a26cec983ddcdc4e8f276bb155b216dad94791a0,13943.93633,
1L2qgT8Eu9R52nqsUR2SuWG8kbDkiwLPmC,Sent,03/04/2024,9b37e950509c525801329c133e9a3e5dd795cb032cef208382755dba66ab3154,7680.902487,
1H86ZN7UuP9BUomMWWX5H6m2LsaxQ456Zs,Received,03/04/2024,9b37e950509c525801329c133e9a3e5dd795cb032cef208382755dba66ab3154,7680.102436,
